zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
10278,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.72,-74.0
10278,New York,NY,shopping,0,0,0,0,0,0,0,0,40.72,-74.0
10278,New York,NY,localservices,0,0,0,0,0,0,0,0,40.72,-74.0
10279,New York,NY,restaurants,1,71,0,0,0,0,0,0,40.71,-74.01
10279,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.01
10279,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.01
10280,New York,NY,restaurants,2,129,7,858,1,60,0,0,40.71,-74.02
10280,New York,NY,shopping,0,0,1,35,0,0,0,0,40.71,-74.02
10280,New York,NY,localservices,2,84,0,0,1,1,1,23,40.71,-74.02
10281,New York,NY,restaurants,2,234,3,336,2,245,0,0,40.71,-73.99
10281,New York,NY,shopping,0,0,1,11,5,27,0,0,40.71,-73.99
10281,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10282,New York,NY,restaurants,1,22,8,2730,1,80,1,259,40.72,-74.02
10282,New York,NY,shopping,2,20,0,0,1,19,2,46,40.72,-74.02
10282,New York,NY,localservices,0,0,1,81,1,7,0,0,40.72,-74.02
10285,New York,NY,restaurants,0,0,1,94,0,0,0,0,40.71,-73.99
10285,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10285,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10286,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10286,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10286,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10292,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10292,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10292,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
