zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,tot_pr_1,tot_rv_1,tot_pr_2,tot_rv_2,tot_pr_3,tot_rv_3,tot_pr_4,tot_rv_4,zero_check
89821,Crescent Valley,NV,40.52,-116.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,14267,812,0,0,0,45195,15079,68.5409090909091,0,0,0,0,0,0,0,0,0
03032,Auburn,NH,43.0029358293048,-71.36205245040007,2,36,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2910,268429,11659,8585,667,99,1166457,289439,99.4635738831615,2,36,1,9,0,0,0,0,48
03044,Fremont,NH,42.98246930054797,-71.1277707025047,0,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2460,164998,10704,7538,439,29,685236,183708,74.6780487804878,0,0,1,57,0,0,0,0,58
03052,Litchfield,NH,42.86384948226613,-71.4544012806719,1,42,1,45,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,4350,358011,20349,12208,940,121,1528371,391629,90.02965517241378,1,42,2,54,0,0,0,0,99
03076,Pelham,NH,42.71420538531088,-71.31739685579245,3,51,6,144,0,0,0,0,2,3,6,41,3,15,1,5,1,2,0,0,1,1,0,0,7190,613415,28751,25022,1667,437,2718332,669292,93.08650904033381,6,56,12,185,4,16,1,5,285
03087,Windham,NH,42.805511628216365,-71.29047543528705,4,190,12,754,0,0,0,0,0,0,7,57,2,12,1,7,1,2,0,0,0,0,0,0,7220,1027270,38188,38980,2293,2357,4914190,1109088,153.61329639889198,5,192,19,811,2,12,1,7,1049
03261,Northwood,NH,43.20351986219656,-71.17629813921238,1,23,6,267,0,0,0,0,1,2,4,21,0,0,0,0,0,0,0,0,0,0,0,0,2350,146603,9799,4707,344,36,575699,161489,68.71872340425531,2,25,10,288,0,0,0,0,325
03607,South Acworth,NH,43.18,-72.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,8247,481,0,0,0,24112,8728,58.18666666666667,0,0,0,0,0,0,0,0,0
03837,Gilmanton Iron Works,NH,43.43,-71.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,37983,2737,1548,103,0,150024,42371,65.18615384615384,0,0,0,0,0,0,0,0,0
03853,Mirror Lake,NH,43.63,-71.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,32403,3286,1158,67,108,144845,37022,112.1878787878788,0,0,0,0,0,0,0,0,0
07016,Cranford,NJ,40.65367119150019,-74.30214959427458,14,628,36,4588,6,769,0,0,3,26,18,194,5,32,1,17,0,0,6,27,2,27,0,0,11650,1398478,75673,71958,273,1146,6687371,1547528,132.83502145922748,17,654,60,4809,13,828,1,17,6399
07046,Mountain Lakes,NJ,40.88554502890687,-74.44985252067156,1,83,3,290,2,235,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1990,698675,10494,26025,70,2268,3596951,737532,370.61909547738685,1,83,5,292,2,235,0,0,618
07078,Millburn,NJ,40.72194206420854,-74.3264565600093,4,173,4,454,1,61,0,0,1,10,7,67,6,26,1,4,0,0,1,9,0,0,0,0,5800,4218079,26906,109005,187,18890,22094789,4373067,753.9770689655172,5,183,12,530,7,87,1,4,829
07423,Ho Ho Kus,NJ,40.99718357472558,-74.1101913338226,2,74,8,513,2,328,0,0,0,0,3,8,2,35,0,0,0,0,0,0,0,0,0,0,1910,531212,13183,20879,15,1263,2739134,566552,296.6240837696335,2,74,11,521,4,363,0,0,975
07438,Oak Ridge,NJ,41.029439240264395,-74.50665901378113,7,141,8,312,0,0,0,0,0,0,4,15,1,2,0,0,0,0,0,0,0,0,0,0,5600,479381,32287,27058,114,139,2172432,538979,96.24625,7,141,12,327,1,2,0,0,490
07444,Pequannock,NJ,40.96639438757429,-74.28971744298552,10,267,7,955,0,0,0,0,3,19,10,90,4,29,0,0,0,0,0,0,0,0,0,0,6020,618846,56818,29694,92,581,2885577,706031,117.28089700996678,13,286,17,1045,4,29,0,0,1394
07647,Northvale,NJ,41.01090844099549,-73.94756889013784,13,245,14,759,2,117,0,0,3,8,7,36,3,22,0,0,1,1,0,0,0,0,0,0,2390,237816,12287,12686,11,186,1120334,262986,110.03598326359831,17,254,21,795,5,139,0,0,1231
