zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4
93510,Acton,CA,34.48700217329306,-118.18339077566166,4,192,10,817,0,0,0,0,0,0,6,77,1,4,0,0,0,0,1,4,0,0,0,0
93518,Caliente,CA,35.312329999999996,-118.4094,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93531,Keene,CA,35.22433,-118.56555,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93940,Monterey,CA,36.6,-121.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,1,183,0,0
94015,Daly City,CA,37.6787480642817,-122.47488235299896,38,7503,22,10458,1,456,0,0,9,754,40,1863,11,239,1,10,8,222,2,36,2,9,0,0
94085,Sunnyvale,CA,37.38838297374515,-122.0166805304784,22,4299,16,6080,0,0,0,0,5,203,11,2553,1,1,1,6,2,26,1,26,1,32,0,0
94158,San Francisco,CA,37.77022753727292,-122.3910305990682,11,2570,21,3985,0,0,0,0,0,0,6,206,3,57,0,0,0,0,1,436,0,0,0,0
94514,Byron,CA,37.87266735185017,-121.63781162381123,3,98,1,234,0,0,0,0,1,6,1,9,0,0,0,0,0,0,0,0,0,0,0,0
94561,Oakley,CA,37.99830191038793,-121.721804911912,15,1224,10,1122,0,0,0,0,4,59,13,270,0,0,0,0,2,12,1,23,1,6,0,0
94591,Vallejo,CA,38.11329846009082,-122.21998500149307,33,3784,24,4292,0,0,0,0,16,225,30,1199,2,41,1,12,2,15,9,255,1,9,0,0
94612,Oakland,CA,37.80744752302521,-122.26863861396895,42,4325,36,12442,2,1911,0,0,18,627,35,1152,7,151,2,55,4,408,1,15,2,22,1,43
94710,Berkeley,CA,37.86764238140468,-122.29815345724924,13,3766,21,12180,1,535,1,6,2,124,30,1831,42,2136,5,186,1,2,4,66,1,2,0,0
95004,Aromas,CA,36.88862845517736,-121.643206588834,0,0,1,107,1,16,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95023,Hollister,CA,36.854715480237594,-121.40111741306255,38,1375,32,3455,0,0,0,0,12,108,25,398,5,101,1,10,3,61,3,15,2,10,1,3
95060,Santa Cruz,CA,37.01767752979578,-122.0547655321162,2,113,5,246,0,0,0,0,0,0,4,45,0,0,1,1,0,0,0,0,0,0,0,0
95111,San Jose,CA,37.289494062312706,-121.83831511387913,38,4631,24,3590,1,3,0,0,12,156,18,243,4,46,4,12,7,136,4,57,0,0,0,0
95126,San Jose,CA,37.32943738833957,-121.91209279178423,17,2517,18,8231,1,475,0,0,9,517,37,2662,6,188,1,4,3,138,15,935,0,0,0,0
95258,Woodbridge,CA,38.154188845507825,-121.30097533955076,0,0,3,401,1,125,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0
95328,Keyes,CA,37.5573138986328,-120.913097403076,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95336,Manteca,CA,37.802783448939856,-121.20841696144736,53,4316,27,3274,1,263,0,0,16,340,31,569,12,220,2,6,2,82,7,117,3,96,1,25
95365,Planada,CA,37.29385993333333,-120.32166433333332,2,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95388,Winton,CA,37.387192144858496,-120.61355695439951,2,68,2,31,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,5,0,0,0,0
95435,Finley,CA,39.01,-122.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
