zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long,db_city
08812,Green Brook Township,NJ,restaurants,21,674,21,1371,0,0,0,0,40.59522525909528,-74.47422599150103,Dunellen
08812,Green Brook Township,NJ,shopping,3,11,16,150,5,54,2,14,40.59505460714371,-74.48579382406871,Dunellen
08812,Green Brook Township,NJ,localservices,1,8,1,3,0,0,0,0,40.59409874727335,-74.47642608847693,Dunellen
08830,Iselin,NJ,restaurants,20,941,31,5459,3,166,0,0,40.56850135866767,-74.3195798764562,Iselin
08830,Iselin,NJ,shopping,4,7,15,223,13,259,1,5,40.57088396255276,-74.32173515349935,Iselin
08830,Iselin,NJ,localservices,0,0,1,31,0,0,0,0,40.56882298003734,-74.31612923420253,Iselin
87013,Cuba,NM,restaurants,5,56,1,140,0,0,0,0,36.010502798108355,-106.962698934145,Cuba
87013,Cuba,NM,shopping,0,0,0,0,0,0,0,0,36.02,-106.95,Cuba
87013,Cuba,NM,localservices,0,0,0,0,0,0,0,0,36.01453,-106.96536,Cuba
87021,Milan,NM,restaurants,5,272,2,66,0,0,0,0,35.174409700617,-107.89545449487814,Milan
87021,Milan,NM,shopping,0,0,1,2,0,0,0,0,35.177985725491496,-107.8968183765425,Milan
87021,Milan,NM,localservices,0,0,0,0,0,0,0,0,35.17056619192923,-107.89071356447232,Milan
87036,Mountainair,NM,restaurants,1,10,1,14,0,0,0,0,34.5197746519495,-106.24300796543167,Mountainair
87036,Mountainair,NM,shopping,0,0,0,0,0,0,0,0,34.52,-106.24,Mountainair
87036,Mountainair,NM,localservices,0,0,0,0,0,0,0,0,34.52,-106.24,Mountainair
87114,Albuquerque,NM,restaurants,35,1044,42,3227,0,0,0,0,35.19773438607534,-106.65652381825501,Albuquerque
87114,Albuquerque,NM,shopping,11,98,40,414,17,74,1,3,35.19855301849561,-106.65692830613042,Albuquerque
87114,Albuquerque,NM,localservices,2,25,0,0,2,6,1,18,35.19961378679192,-106.66348643682898,Albuquerque
87701,Las Vegas,NM,restaurants,20,329,11,647,0,0,1,14,35.59946678605254,-105.22122566784928,Las Vegas
87701,Las Vegas,NM,shopping,1,2,11,27,0,0,0,0,35.5966699021608,-105.22406676811937,Las Vegas
