zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4,range_of_agi,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,zipcode
10032,New York,NY,40.84,-73.94,55,2581,24,2414,0,0,1,10,14,58,18,250,2,32,2,3,6,49,5,33,3,26,0,0,21.0,29300.0,1128224.0,43076.0,4828.0,212.0,201.0,4421669.0,1176541.0,40.154982935153576,10032
10033,New York,NY,40.85,-73.93,36,1447,33,5102,1,2,0,0,7,31,17,149,2,13,7,60,4,29,4,40,1,12,1,17,21.0,26930.0,1209210.0,44723.0,9477.0,171.0,383.0,4951411.0,1263964.0,46.93516524322318,10033
10034,New York,NY,40.87,-73.92,35,1250,47,7043,1,90,0,0,5,59,14,215,2,7,1,3,3,20,4,56,1,4,0,0,21.0,20140.0,878938.0,34746.0,5055.0,139.0,252.0,3541207.0,919130.0,45.63704071499504,10034
10035,New York,NY,40.8,-73.93,32,833,17,2013,0,0,0,0,13,114,21,894,0,0,1,1,2,12,2,22,0,0,0,0,21.0,15130.0,689242.0,25796.0,2420.0,155.0,188.0,2840244.0,717801.0,47.44223397224058,10035
10036,New York,NY,40.76,-73.99,31,5398,81,37827,12,4130,8,2551,7,193,54,2194,18,544,3,37,3,60,6,212,2,8,0,0,21.0,18720.0,3710013.0,38500.0,39959.0,262.0,37401.0,19045981.0,3826135.0,204.3875534188034,10036
10037,New York,NY,40.81,-73.94,13,266,3,183,0,0,0,0,3,33,3,32,0,0,1,2,1,5,4,75,1,4,0,0,21.0,10530.0,513967.0,44857.0,1549.0,125.0,165.0,2068967.0,560663.0,53.24434947768281,10037
10038,New York,NY,40.71,-74.0,39,3454,58,10372,7,1164,2,375,17,417,46,874,8,130,4,68,4,195,9,378,0,0,2,25,21.0,12090.0,1572911.0,32143.0,20750.0,73.0,2939.0,7855597.0,1628816.0,134.72423490488006,10038
10039,New York,NY,40.83,-73.94,17,202,8,435,0,0,0,0,2,13,4,42,0,0,2,5,1,4,3,44,1,7,0,0,21.0,13290.0,532774.0,35912.0,1484.0,135.0,36.0,2098623.0,570341.0,42.9150489089541,10039
10040,New York,NY,40.86,-73.93,29,901,19,2291,1,469,0,0,10,39,10,122,0,0,0,0,5,30,2,9,0,0,0,0,21.0,21300.0,920814.0,35470.0,5548.0,175.0,205.0,3692323.0,962212.0,45.174272300469475,10040
10041,New York,NY,40.71,-73.99,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10043,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10044,New York,NY,40.76,-73.95,4,155,2,180,0,0,0,0,2,14,0,0,0,0,0,0,1,1,0,0,0,0,1,10,21.0,4260.0,408887.0,17420.0,5514.0,26.0,260.0,1909102.0,432107.0,101.43356807511736,10044
10045,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10046,New York,NY,40.71,-74.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10047,New York,NY,40.71,-74.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10048,New York,NY,40.71,-74.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10055,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10060,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10065,New York,NY,40.76,-73.96,14,901,47,8943,19,3505,5,2041,4,83,33,858,24,515,9,72,5,113,7,94,2,12,6,234,21.0,15780.0,6643846.0,96195.0,111705.0,314.0,62758.0,36349784.0,6914818.0,438.2013941698352,10065
10069,New York,NY,40.78,-73.99,1,45,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,2890.0,1390909.0,8487.0,18259.0,32.0,9063.0,7579213.0,1426750.0,493.6851211072664,10069
10072,New York,NY,40.75,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10075,New York,NY,40.77,-73.95,12,2401,33,9894,5,2135,1,14,0,0,10,126,13,248,7,125,1,5,4,59,4,154,0,0,21.0,14080.0,5892688.0,87046.0,104541.0,198.0,47452.0,31976350.0,6131925.0,435.5060369318182,10075
10079,New York,NY,40.71,-74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10080,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10081,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10082,New York,NY,40.77,-73.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10087,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10090,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10094,New York,NY,40.71,-74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10095,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10096,New York,NY,40.71,-74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10098,New York,NY,40.75,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10099,New York,NY,40.71,-74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10101,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10102,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10103,New York,NY,40.76,-73.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10104,New York,NY,40.71,-73.99,1,142,1,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10105,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10106,New York,NY,40.71,-73.99,0,0,0,0,1,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10107,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,1,29,1,32,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10108,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10109,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10110,New York,NY,40.75,-73.98,0,0,0,0,0,0,0,0,1,7,1,68,2,28,0,0,0,0,0,0,1,18,0,0,,,,,,,,,,,
10111,New York,NY,40.76,-73.98,0,0,1,720,3,606,0,0,1,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10112,New York,NY,40.76,-73.98,6,362,4,405,2,334,1,236,0,0,6,216,8,338,2,19,0,0,1,14,0,0,0,0,,,,,,,,,,,
10113,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10114,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10115,New York,NY,40.81,-73.96,0,0,1,1,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10116,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10117,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10118,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10119,New York,NY,40.75,-73.99,5,398,7,1680,0,0,0,0,0,0,3,244,1,16,0,0,0,0,0,0,0,0,0,0,21.0,290.0,201640.0,523.0,4775.0,0.0,1950.0,1111635.0,208888.0,720.303448275862,10119
10120,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10121,New York,NY,40.71,-73.99,2,150,6,549,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10122,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10123,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,4,116,0,0,1,25,0,0,0,0,0,0,0,0,,,,,,,,,,,
10124,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10125,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10126,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
