,range_of_agi,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,zipcode
248,21,13260,491392,21923,5423,435,42,1779126,519215,39.156485671191554,01843
249,21,26460,1567298,107432,38570,2676,422,6471819,1716398,64.867649281935,01844
250,21,14470,1752046,77311,49790,2418,2775,8374362,1884340,130.22391154111955,01845
251,21,7560,305796,15575,4128,342,0,1143564,325841,43.100661375661375,01850
252,21,15710,704588,30713,9475,807,51,2669551,745634,47.462380649267985,01851
253,21,16990,876617,55991,15954,1042,252,3506073,949856,55.90676868746321,01852
254,21,11330,503238,25852,8130,643,19,1926646,537882,47.47413945278023,01854
255,21,3460,269150,16940,8588,451,143,1186961,295272,85.33872832369943,01860
256,21,5050,392446,20928,10506,673,159,1706297,424712,84.10138613861386,01862
257,21,4830,367198,23871,11588,572,133,1587491,403362,83.51180124223602,01863
258,21,7870,927251,40290,35579,1391,1090,4427631,1005601,127.77649301143583,01864
259,21,12690,1586059,75951,50876,1980,1770,7473711,1716636,135.27470449172577,01867
260,21,16330,1304269,87791,44145,2276,767,5717452,1439248,88.13521126760564,01876
261,21,6260,539304,29447,18295,999,338,2413658,588383,93.9908945686901,01879
262,21,14000,1298961,74651,38769,1815,1187,5855004,1415383,101.09878571428571,01880
263,21,11540,1501208,49123,55105,2305,2113,7204707,1609854,139.50207972270363,01886
264,21,12140,1069743,58915,35579,1837,550,4789424,1166624,96.09752883031301,01887
265,21,10330,2416038,62950,73539,2155,8713,12383854,2563395,248.15053242981608,01890
266,21,900,31655,623,204,23,0,115120,32505,36.11666666666667,01901
267,21,21780,841449,42322,13264,848,108,3133009,897991,41.23007346189164,01902
268,21,10400,623900,57204,17521,968,116,2568971,699709,67.27971153846154,01904
269,21,12660,530208,30666,9168,623,38,1993370,570703,45.07922590837283,01905
270,21,14880,1018516,77495,26365,1699,774,4313801,1124849,75.59469086021505,01906
271,21,7500,1065796,41029,32125,1115,3201,5238493,1143266,152.43546666666666,01907
272,21,1940,229671,15870,5987,253,409,1081242,252190,129.99484536082474,01908
273,21,8740,651326,36184,23200,1006,374,2857751,712090,81.47482837528604,01913
274,21,20010,1814884,93921,47949,2140,4366,8304647,1963260,98.11394302848576,01915
275,21,3860,799278,22442,25904,977,2152,3986040,850753,220.40233160621761,01921
276,21,1630,180196,10582,4642,286,201,839333,195907,120.18834355828221,01922
277,21,14640,1201977,79978,34680,1810,1018,5340747,1319463,90.12725409836065,01923
278,21,1800,198464,6966,7987,251,362,952864,214030,118.90555555555555,01929
279,21,15220,1165545,70937,35928,1431,2487,5180296,1276328,83.85860709592642,01930
280,21,7390,753073,47795,25738,1023,1372,3522071,829001,112.1787550744249,01938
281,21,6570,996825,42246,33684,1366,1666,4938118,1075787,163.74231354642313,01940
282,21,2660,727724,17373,18973,554,5908,3816141,770532,289.6736842105263,01944
283,21,10400,1754216,70152,47706,2034,6179,8794396,1880287,180.79682692307694,01945
284,21,4400,526620,26978,17848,885,508,2516418,572839,130.19068181818182,01949
285,21,9430,1096164,59688,34361,1454,2506,5229364,1194173,126.6355249204666,01950
286,21,1900,272481,13637,6407,309,411,1334818,293245,154.33947368421053,01951
287,21,4690,297706,24826,7534,532,146,1257996,330744,70.52110874200426,01952
288,21,28120,1842896,161791,41008,2850,1215,7690860,2049760,72.89331436699858,01960
289,21,3840,355779,30061,12919,426,750,1638337,399935,104.14973958333333,01966
290,21,3160,301197,16924,10254,507,161,1380114,329043,104.12753164556962,01969
291,21,22250,1351337,84233,32656,1570,442,5616429,1470238,66.07811235955056,01970
292,21,3470,614315,16576,19265,628,1470,3031423,652254,187.9694524495677,01982
293,21,3140,496584,21581,17602,659,1580,2470244,538006,171.33949044585987,01983
294,21,1830,346592,12434,11721,339,929,1775483,372015,203.28688524590163,01984
295,21,2230,320694,16521,10958,450,855,1565665,349478,156.71659192825112,01985
296,21,8730,621012,33021,15929,1093,138,2668446,671193,76.88350515463918,02019
297,21,11730,1386798,67029,36792,1709,2507,6591075,1494835,127.43691389599319,02021
298,21,3800,1010057,26067,27513,932,4090,5249211,1068659,281.22605263157897,02025
299,21,13140,1449983,72910,40720,1505,3859,6819860,1568977,119.40464231354642,02026
300,21,2790,1303312,15670,30510,874,7685,6827622,1358051,486.75663082437273,02030
301,21,2250,241323,10960,8595,385,167,1122175,261430,116.19111111111111,02032
302,21,9260,987808,43917,25994,1227,1286,4623471,1060232,114.49589632829374,02035
303,21,15940,1683597,68758,45580,2535,1957,7839594,1802427,113.07572145545797,02038
304,21,11090,2541047,87880,63185,2426,6904,13154645,2701442,243.5926059513075,02043
305,21,5650,448477,35746,14176,667,281,2006979,499347,88.38,02045
306,21,370,24818,2299,1273,49,0,108622,28439,76.86216216216216,02047
307,21,12210,1135164,43872,32326,1691,712,5182907,1213765,99.4074529074529,02048
308,21,12070,1149801,78129,36028,1829,882,5289469,1266669,104.94357912178955,02050
309,21,5980,1221078,30283,37840,1305,2791,6269102,1293297,216.27040133779263,02052
310,21,6530,688352,27716,24528,1040,437,3210234,742073,113.64058192955589,02053
311,21,4320,363244,20567,13416,574,187,1625513,397988,92.12685185185185,02054
312,21,4820,639174,26571,24733,956,765,3101804,692199,143.6097510373444,02056
313,21,5350,1013223,33893,31968,1187,3181,5104416,1083452,202.51439252336448,02061
314,21,15800,1332516,76629,24700,1350,699,5687161,1435894,90.8793670886076,02062
315,21,9190,1221290,61638,40500,1600,2173,5911732,1327201,144.41795429815016,02066
316,21,8270,1274970,38634,51548,1733,2748,6282247,1369633,165.61463119709794,02067
317,21,490,51085,1870,1826,86,12,231129,54879,111.99795918367347,02071
318,21,14930,988840,64796,26202,1515,501,4200174,1081854,72.46175485599464,02072
319,21,9830,1134758,58010,36170,1500,1388,5343209,1231826,125.31291963377416,02081
320,21,7530,1736846,43770,48408,1499,7516,8983963,1838039,244.09548472775563,02090
321,21,5690,651854,25491,18072,1010,586,3096828,697013,122.49789103690685,02093
322,21,2650,1377150,13517,26300,430,14187,7460947,1431584,540.2203773584905,02108
323,21,2710,946351,14843,13627,286,8579,4880002,983686,362.9837638376384,02109
324,21,2280,1419581,19041,18694,302,10202,7295728,1467820,643.780701754386,02110
325,21,3620,838341,7409,11563,195,4031,4233830,861539,237.99419889502764,02111
326,21,4440,370807,6260,3104,110,282,1554540,380563,85.71238738738738,02113
327,21,7450,1261921,21208,14904,351,4424,5995529,1302808,174.87355704697987,02114
328,21,7800,995903,14858,11064,275,7367,4804783,1029467,131.98294871794872,02115
329,21,10860,5218814,41688,75054,1316,64804,27787765,5401676,497.39189686924493,02116
330,21,13860,2015055,20074,32011,787,8481,9981926,2076408,149.812987012987,02118
331,21,13590,509046,22444,2751,306,113,1862812,534660,39.34216335540839,02119
332,21,5320,196718,6163,1090,65,43,721856,204079,38.36071428571429,02120
333,21,12820,411537,20426,1709,259,0,1433733,433931,33.84797191887675,02121
334,21,12460,588430,24076,4855,451,78,2281867,617890,49.58988764044944,02122
335,21,25410,1145900,64065,9841,1002,229,4430220,1221037,48.05340417158599,02124
336,21,17170,819082,24325,5583,458,390,3163300,849838,49.49551543389633,02125
337,21,12220,477061,34457,2883,543,35,1754189,514979,42.14230769230769,02126
338,21,21410,1925792,50218,21190,1102,1742,8465658,2000044,93.41634750116768,02127
339,21,20410,924855,30131,4829,439,213,3432452,960467,47.05864772170505,02128
340,21,9990,1311680,30935,21510,956,2147,6278174,1367228,136.85965965965966,02129
341,21,20260,1681648,59652,24282,939,2228,7461982,1768749,87.30251727541955,02130
342,21,16310,1015804,46819,10533,846,396,4191005,1074398,65.87357449417536,02131
343,21,14060,1297935,86657,20012,1402,958,5786359,1406964,100.06856330014224,02132
344,21,10700,519568,6342,2693,150,166,1976627,528919,49.431682242990654,02134
345,21,23160,1328533,33167,9546,583,754,5207948,1372583,59.26524179620034,02135
346,21,18490,915838,56379,8784,1135,185,3618759,982321,53.12714981070849,02136
347,21,14990,2874981,90272,38251,950,28700,14383350,3033154,202.34516344229488,02138
348,21,18690,1626768,39974,13617,583,2716,7177656,1683658,90.08336008560728,02139
349,21,10590,1066253,30933,11694,495,2655,4800512,1112030,105.00755429650614,02140
350,21,7130,580961,13723,4161,227,658,2477804,599730,84.11360448807854,02141
351,21,1690,275021,7485,2937,111,1283,1337309,286837,169.72603550295858,02142
352,21,15340,1088333,23520,10248,425,1063,4490032,1123589,73.24569752281617,02143
353,21,14590,1186672,28184,14133,522,1679,5038535,1231190,84.38588074023303,02144
354,21,14490,820908,20934,6735,422,457,3234519,849456,58.62360248447205,02145
355,21,32220,1658736,74674,21243,1421,377,6405101,1756451,54.514307883302294,02148
356,21,22330,978636,43767,11945,866,209,3657200,1035423,46.36914464845499,02149
357,21,18100,725726,23916,5962,455,106,2666943,756165,41.77707182320442,02150
